experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
X21,X21.1eacdd6a82b08a5adcb60f3fbc8967fc,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_035,test,5,1,X21.CMN.CMN_M_035.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_035,shoes,,the shoes were very dirty,,1,0
X21,X21.1eacdd6a82b08a5adcb60f3fbc8967fc,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_035,test,5,2,X21.CMN.CMN_M_035.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_035,were,,the shoes were very dirty,,1,0
X21,X21.1eacdd6a82b08a5adcb60f3fbc8967fc,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_035,test,5,3,X21.CMN.CMN_M_035.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_035,very,,the shoes were very dirty,,1,0
X21,X21.1eacdd6a82b08a5adcb60f3fbc8967fc,X21.Control,Control,control,none,control,none,ENG,CMN,"X21.ENG.ENG_M_055, X21.ENG.ENG_M_066, X21.ENG.ENG_M_070, X21.ENG.ENG_M_131, X21.ENG.ENG_M_133",X21.CMN.CMN_M_035,test,5,4,X21.CMN.CMN_M_035.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_035,dirty,,the shoes were very dirty,,1,0
X21,X21.55b6ae995c0a74001334c2a895f11992,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_037,X21.CMN.CMN_M_037,test,4,1,X21.CMN.CMN_M_037.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_037,shoes,,the shoes were very dirty,,1,0
X21,X21.55b6ae995c0a74001334c2a895f11992,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_037,X21.CMN.CMN_M_037,test,4,2,X21.CMN.CMN_M_037.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_037,were,,the shoes were very dirty,,1,0
X21,X21.55b6ae995c0a74001334c2a895f11992,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_037,X21.CMN.CMN_M_037,test,4,3,X21.CMN.CMN_M_037.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_037,very,,the shoes were very dirty,,1,0
X21,X21.55b6ae995c0a74001334c2a895f11992,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_037,X21.CMN.CMN_M_037,test,4,4,X21.CMN.CMN_M_037.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_037,dirty,,the shoes were very dirty,,1,0
X21,X21.22eb07cb0e8ddc8663987ad4b70e80ea,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_032,X21.CMN.CMN_M_035,test,11,1,X21.CMN.CMN_M_035.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_035,shoes,,the shoes were very dirty,,1,0
X21,X21.22eb07cb0e8ddc8663987ad4b70e80ea,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_032,X21.CMN.CMN_M_035,test,11,2,X21.CMN.CMN_M_035.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_035,were,,the shoes were very dirty,,1,0
X21,X21.22eb07cb0e8ddc8663987ad4b70e80ea,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_032,X21.CMN.CMN_M_035,test,11,3,X21.CMN.CMN_M_035.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_035,very,,the shoes were very dirty,,1,0
X21,X21.22eb07cb0e8ddc8663987ad4b70e80ea,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_032,X21.CMN.CMN_M_035,test,11,4,X21.CMN.CMN_M_035.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_035,dirty,,the shoes were very dirty,,1,0
X21,X21.e933e4127113efac6d17b9c8ee834f2d,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_043,test,11,1,X21.CMN.CMN_M_043.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_043,shoes,,the shoes were very dirty,,1,0
X21,X21.e933e4127113efac6d17b9c8ee834f2d,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_043,test,11,2,X21.CMN.CMN_M_043.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_043,were,,the shoes were very dirty,,1,0
X21,X21.e933e4127113efac6d17b9c8ee834f2d,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_021,X21.CMN.CMN_M_043,test,11,3,X21.CMN.CMN_M_043.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_043,very,,the shoes were very dirty,,1,0
