dataset_id,variant,layer,talker_a_id,talker_b_id,n_matched_items,mean_raw_distance,item_scope,tau,dtw_normalization
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.im2,138,15.680189547622405,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im2,AN19.ENG.ef2,138,15.680189547622405,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.im3,138,15.64986881962883,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im3,AN19.ENG.ef2,138,15.64986881962883,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.im4,138,16.076476887478464,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im4,AN19.ENG.ef2,138,16.076476887478464,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.im5,138,16.144858793006932,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im5,AN19.ENG.ef2,138,16.144858793006932,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.MIX.im6,138,18.158888896723884,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im6,AN19.ENG.ef2,138,18.158888896723884,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sf1,138,20.382057728298317,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf1,AN19.ENG.ef2,138,20.382057728298317,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sf2,138,19.827927430128625,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf2,AN19.ENG.ef2,138,19.827927430128625,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sf3,138,17.449976104859097,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf3,AN19.ENG.ef2,138,17.449976104859097,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sf4,138,22.004183556040687,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf4,AN19.ENG.ef2,138,22.004183556040687,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sf5,138,15.71525381397295,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf5,AN19.ENG.ef2,138,15.71525381397295,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef2,AN19.SPA.sf6,138,18.032791534704607,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.SPA.sf6,AN19.ENG.ef2,138,18.032791534704607,138 globally common words,2.0,mean_sequence_length
