interval_id,recording_id,speaker_id,comparison_word,canonical_sequence,canonical_position,canonical_phone,audio_sha256
AN19-rec-0a375ec0b57e274b87bf:phone:3,AN19-rec-0a375ec0b57e274b87bf,AN19.ENG.em2,fin,f ih n,2,n,f9a6b1e7f9b2027fec423c7b27fe876455ef07d00693e8953707a754b1bf8ce4
AN19-rec-0a467390e1caed8d371e:phone:1,AN19-rec-0a467390e1caed8d371e,AN19.ENG.em3,kit,k ih t,0,k,da49b32f2a9998815f30b39e9c1cfacf20455ffb6bb47b5cbbd979e374331a0a
AN19-rec-0a467390e1caed8d371e:phone:2,AN19-rec-0a467390e1caed8d371e,AN19.ENG.em3,kit,k ih t,1,ih,da49b32f2a9998815f30b39e9c1cfacf20455ffb6bb47b5cbbd979e374331a0a
AN19-rec-0a467390e1caed8d371e:phone:3,AN19-rec-0a467390e1caed8d371e,AN19.ENG.em3,kit,k ih t,2,t,da49b32f2a9998815f30b39e9c1cfacf20455ffb6bb47b5cbbd979e374331a0a
AN19-rec-0ad43e2737660fcb4f81:phone:1,AN19-rec-0ad43e2737660fcb4f81,AN19.ENG.ef1,south,s aw th,0,s,de3808327b9b2e7a4fc1617f478062dcea1708907043679b1aa2fe75827bc5cd
AN19-rec-0ad43e2737660fcb4f81:phone:3,AN19-rec-0ad43e2737660fcb4f81,AN19.ENG.ef1,south,s aw th,2,th,de3808327b9b2e7a4fc1617f478062dcea1708907043679b1aa2fe75827bc5cd
AN19-rec-0b55815af6e9192d2c37:phone:1,AN19-rec-0b55815af6e9192d2c37,AN19.ENG.ef1,hurl,hh er l,0,hh,d0774ca3f49495ae77742fd9675c5fd543a44d1194a0a2fd5ffb5bf9ae515c3e
AN19-rec-0b55815af6e9192d2c37:phone:2,AN19-rec-0b55815af6e9192d2c37,AN19.ENG.ef1,hurl,hh er l,1,er,d0774ca3f49495ae77742fd9675c5fd543a44d1194a0a2fd5ffb5bf9ae515c3e
AN19-rec-0b55815af6e9192d2c37:phone:3,AN19-rec-0b55815af6e9192d2c37,AN19.ENG.ef1,hurl,hh er l,2,l,d0774ca3f49495ae77742fd9675c5fd543a44d1194a0a2fd5ffb5bf9ae515c3e
AN19-rec-0b5c8fd8cf64591489e1:phone:1,AN19-rec-0b5c8fd8cf64591489e1,AN19.ENG.em2,white,w ay t,0,w,4c62e2db5e07e2f8bd0d8128c111039d87b3e2d9d5fa7e84ba7fc82aaaad1f2b
AN19-rec-0b5c8fd8cf64591489e1:phone:2,AN19-rec-0b5c8fd8cf64591489e1,AN19.ENG.em2,white,w ay t,1,ay,4c62e2db5e07e2f8bd0d8128c111039d87b3e2d9d5fa7e84ba7fc82aaaad1f2b
AN19-rec-0b5c8fd8cf64591489e1:phone:3,AN19-rec-0b5c8fd8cf64591489e1,AN19.ENG.em2,white,w ay t,2,t,4c62e2db5e07e2f8bd0d8128c111039d87b3e2d9d5fa7e84ba7fc82aaaad1f2b
AN19-rec-0b9ecf3a16ab928c3223:phone:1,AN19-rec-0b9ecf3a16ab928c3223,AN19.ENG.em3,pool,p uw l,0,p,788b0fd0b22b2ba4a46df611f4e3d48766da4a036b6f7b29b309d488764fc5bd
AN19-rec-0b9ecf3a16ab928c3223:phone:3,AN19-rec-0b9ecf3a16ab928c3223,AN19.ENG.em3,pool,p uw l,2,l,788b0fd0b22b2ba4a46df611f4e3d48766da4a036b6f7b29b309d488764fc5bd
AN19-rec-0bca3f33b236437ddc13:phone:1,AN19-rec-0bca3f33b236437ddc13,AN19.ENG.ef2,chat,ch ae t,0,ch,7c148acc0612fc10a15d3d353f08c1a810ce407276cbc0031676b7e47db40af3
AN19-rec-0bca3f33b236437ddc13:phone:2,AN19-rec-0bca3f33b236437ddc13,AN19.ENG.ef2,chat,ch ae t,1,ae,7c148acc0612fc10a15d3d353f08c1a810ce407276cbc0031676b7e47db40af3
AN19-rec-0bca3f33b236437ddc13:phone:3,AN19-rec-0bca3f33b236437ddc13,AN19.ENG.ef2,chat,ch ae t,2,t,7c148acc0612fc10a15d3d353f08c1a810ce407276cbc0031676b7e47db40af3
AN19-rec-0c0b8d8b0f748050d4df:phone:1,AN19-rec-0c0b8d8b0f748050d4df,AN19.ENG.em3,shape,sh ey p,0,sh,83a4b14bf5dfedaf470be5800db75e5910467909d5e8c908a9edc26369ceedfb
AN19-rec-0c0b8d8b0f748050d4df:phone:2,AN19-rec-0c0b8d8b0f748050d4df,AN19.ENG.em3,shape,sh ey p,1,ey,83a4b14bf5dfedaf470be5800db75e5910467909d5e8c908a9edc26369ceedfb
AN19-rec-0c0b8d8b0f748050d4df:phone:3,AN19-rec-0c0b8d8b0f748050d4df,AN19.ENG.em3,shape,sh ey p,2,p,83a4b14bf5dfedaf470be5800db75e5910467909d5e8c908a9edc26369ceedfb
AN19-rec-0c20384d23a1d82bf893:phone:1,AN19-rec-0c20384d23a1d82bf893,AN19.ENG.em1,mouth,m aw th,0,m,b5d3a02c1d9f9cef2e56c12b86a87dd400ef11e76de5f0f83c6e2f9652b743b9
AN19-rec-0c20384d23a1d82bf893:phone:3,AN19-rec-0c20384d23a1d82bf893,AN19.ENG.em1,mouth,m aw th,2,th,b5d3a02c1d9f9cef2e56c12b86a87dd400ef11e76de5f0f83c6e2f9652b743b9
AN19-rec-0c2d1d50bc519ebd7fc3:phone:1,AN19-rec-0c2d1d50bc519ebd7fc3,AN19.ENG.em3,wail,w ey l,0,w,31cff1daacf0ac2a59c51f8e031fa004b16783deae8a775104a644d1f042c3f3
AN19-rec-0c2d1d50bc519ebd7fc3:phone:2,AN19-rec-0c2d1d50bc519ebd7fc3,AN19.ENG.em3,wail,w ey l,1,ey,31cff1daacf0ac2a59c51f8e031fa004b16783deae8a775104a644d1f042c3f3
AN19-rec-0c534d55213dd2e53914:phone:1,AN19-rec-0c534d55213dd2e53914,AN19.ENG.em1,chore,ch ao r,0,ch,e3098439ea847a7751190d4ec9d8506a468369586785be2e4044d7881c54d02f
AN19-rec-0c534d55213dd2e53914:phone:2,AN19-rec-0c534d55213dd2e53914,AN19.ENG.em1,chore,ch ao r,1,ao,e3098439ea847a7751190d4ec9d8506a468369586785be2e4044d7881c54d02f
AN19-rec-0c57c4364e2d86c72f71:phone:1,AN19-rec-0c57c4364e2d86c72f71,AN19.ENG.ef1,pet,p eh t,0,p,40b2d0e2bd5acdef005f0705af12f8d04fa1e64ba6d2abb7714f03cf9acbee61
AN19-rec-0c57c4364e2d86c72f71:phone:3,AN19-rec-0c57c4364e2d86c72f71,AN19.ENG.ef1,pet,p eh t,2,t,40b2d0e2bd5acdef005f0705af12f8d04fa1e64ba6d2abb7714f03cf9acbee61
