dataset_id,feature_key,condition_id,comparison,gain,ci_low,ci_high
AN19,strf_direction_negative,AN19.Spanish.test_Korean,predictor_beyond_condition,0.008741742685324027,0.004177942878959968,0.012899120485736909
AN19,strf_direction_negative,AN19.Spanish.test_Spanish,predictor_only,0.026992334334729758,0.022591722957282314,0.031246455769267434
AN19,strf_direction_negative,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.03389604707836863,0.030051907196328182,0.03773645636949791
AN19,strf_direction_positive,AN19.Korean.test_Korean,predictor_only,0.017616684008807382,0.012939620561569217,0.02199919546963414
AN19,strf_direction_positive,AN19.Korean.test_Korean,predictor_beyond_condition,0.01722990627474784,0.012954256636675236,0.021330337767864953
AN19,strf_direction_positive,AN19.Korean.test_Spanish,predictor_only,0.04456703064967415,0.035689582272272743,0.05469885412111627
AN19,strf_direction_positive,AN19.Korean.test_Spanish,predictor_beyond_condition,0.04697135174165352,0.04216054635374406,0.05172230651987158
AN19,strf_direction_positive,AN19.Mixed.test_Korean,predictor_only,0.01701029965178912,0.01091039054428353,0.02260757398319994
AN19,strf_direction_positive,AN19.Mixed.test_Korean,predictor_beyond_condition,0.021496557369895468,0.01483160871651995,0.02766661415361394
AN19,strf_direction_positive,AN19.Mixed.test_Spanish,predictor_only,0.051534689992103616,0.040414719212290263,0.06279837784786985
AN19,strf_direction_positive,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.03774962505130449,0.02884255664597632,0.046163930152927225
AN19,strf_direction_positive,AN19.Spanish.test_Korean,predictor_only,0.005634000435669756,-0.0018553520679008668,0.01246273994655823
AN19,strf_direction_positive,AN19.Spanish.test_Korean,predictor_beyond_condition,0.007473967946132284,-0.00035628977829284855,0.014282096711923691
AN19,strf_direction_positive,AN19.Spanish.test_Spanish,predictor_only,0.028967055456637882,0.02181408768031646,0.035695186927723395
AN19,strf_direction_positive,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.03868431123886096,0.032846838531082265,0.044351798526071816
AN19,strf_rate_16,AN19.Korean.test_Korean,predictor_only,0.027270376941280716,0.02023566715575932,0.033516823514997546
AN19,strf_rate_16,AN19.Korean.test_Korean,predictor_beyond_condition,0.030806065299479955,0.02362011770187149,0.03732526162262187
