dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,measure
B23,HVE,base,base,tr_24::within_token_phoneme,predictor_only_percent_ceiling,-0.8009640192087186,-2.3034125865190234,0.5686590263123887,10080,168,54096,96.16707054105137,102.19993902511295,within_token_phoneme
B23,HVE,base,base,tr_24::within_token_sentence,predictor_only_percent_ceiling,-0.546367115873438,-4.4792503997015345,3.2934986131001467,10080,168,54096,96.16707054105137,102.19993902511295,within_token_sentence
B23,HVE,base,base,tr_24::within_token_word,predictor_only_percent_ceiling,-1.1597646740482932,-4.525304413544133,1.9917833569322587,10080,168,54096,96.16707054105137,102.19993902511295,within_token_word
B23,HVE,base,base,tr_24::within_type_phoneme,predictor_only_percent_ceiling,-0.16541941167714708,-1.6982201460930582,1.3233364372596204,10080,168,54096,96.16707054105137,102.19993902511295,within_type_phoneme
B23,HVE,base,base,tr_24::within_type_word,predictor_only_percent_ceiling,-0.9668085178642427,-2.1595691448774814,0.14020083850026674,10080,168,54096,96.16707054105137,102.19993902511295,within_type_word
B23,HVE,ft,ft,tr_24::between_type_phoneme,predictor_only_percent_ceiling,0.2376112576331046,-2.288452434238038,2.903877343755766,10080,168,54096,96.16707054105137,102.19993902511295,between_type_phoneme
B23,HVE,ft,ft,tr_24::between_type_sentence,predictor_only_percent_ceiling,0.0624230421482709,-1.3915513043340564,1.6120465631825895,10080,168,54096,96.16707054105137,102.19993902511295,between_type_sentence
B23,HVE,ft,ft,tr_24::between_type_word,predictor_only_percent_ceiling,-0.877191341203831,-2.7556104066071723,0.8558008587257472,10080,168,54096,96.16707054105137,102.19993902511295,between_type_word
B23,HVE,ft,ft,tr_24::mean_dissimilarity_phoneme,predictor_only_percent_ceiling,-0.0016525402862627148,-0.6689374848722186,0.6290813930646415,10080,168,54096,96.16707054105137,102.19993902511295,mean_dissimilarity_phoneme
B23,HVE,ft,ft,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,-1.7503168948475742,-3.439315188854881,-0.4169824911864839,10080,168,54096,96.16707054105137,102.19993902511295,mean_dissimilarity_word
