dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,held_out_log_likelihood_per_trial,variant,predictor_definition
X21,strf24_legacy,oof_fold,2.0,M_predictor,5466,5466,2803.01938443559,0.512809986175556,-0.5128099861755562,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_2,oof_fold,0.0,M_predictor,5508,5508,2377.69838399619,0.431680897602794,-0.4316808976027941,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_2,oof_fold,1.0,M_predictor,5503,5503,2847.07690445656,0.517368145458215,-0.5173681454582155,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_2,oof_fold,2.0,M_predictor,5466,5466,2787.53693392445,0.509977485167298,-0.5099774851672978,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_3,oof_fold,0.0,M_predictor,5508,5508,2380.18842865032,0.43213297542671,-0.43213297542671025,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_3,oof_fold,1.0,M_predictor,5503,5503,2848.84090858406,0.517688698634211,-0.5176886986342104,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_3,oof_fold,2.0,M_predictor,5466,5466,2790.99933165052,0.510610927854102,-0.5106109278541018,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_4,oof_fold,0.0,M_predictor,5508,5508,2371.85180703121,0.43061942756558,-0.43061942756557914,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_4,oof_fold,1.0,M_predictor,5503,5503,2839.93648984017,0.51607059600948,-0.5160705960094802,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_4,oof_fold,2.0,M_predictor,5466,5466,2784.26033217201,0.50937803369411,-0.5093780336941108,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_5,oof_fold,0.0,M_predictor,5508,5508,2376.03920395878,0.431379666659182,-0.43137966665918304,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
X21,cnn_5,oof_fold,1.0,M_predictor,5503,5503,2845.88903774964,0.517152287434062,-0.5171522874340614,base,"negative raw DTW, standardized within training folds; retained confirmatory run"
