k,kind,status,z,log_likelihood,coefficient,std_error,singular,var_participant,var_item,var_talker,n_rows,participants,n_word_responses,predictor_shifted_mean,predictor_sd,fit_seconds,warnings,convergence,lme4_version,tau
4.26680700644649e-06,grid,ok,4.09050834795443,-3162.08554467552,0.221128876101903,0.0540590208580027,False,0.81241888572599,2.42815579854376,,8290,161,8290,-7.69597740643017e-05,4.65811336715552e-05,4.06,,ok,1.1.35.5,0.75
6.13237563517304e-06,grid,ok,4.09051464894372,-3162.08549818275,0.221130143965192,0.0540592475380314,False,0.812418774771909,2.42815402977888,,8290,161,8290,-0.0001106062199609,6.69444223762322e-05,4.58,,ok,1.1.35.5,0.75
8.81362360051604e-06,grid,ok,4.09053027004415,-3162.08543115176,0.221131994033301,0.0540594933749052,False,0.812418628719808,2.42814916919864,,8290,161,8290,-0.000158961133779,9.62076009640464e-05,4.44,,ok,1.1.35.5,0.75
1.26671889644251e-05,grid,ok,4.09055251328568,-3162.08533485237,0.221135168613691,0.0540599754912001,False,0.81241801950735,2.42814331843104,,8290,161,8290,-0.0002284525868767,0.0001382582078183,4.14,,ok,1.1.35.5,0.75
1.82056420302608e-05,grid,ok,4.09059446892289,-3162.08519650712,0.221139140443519,0.0540603919854584,False,0.81241744797429,2.42813403512235,,8290,161,8290,-0.0003283161101014,0.0001986795345365,4.03,,ok,1.1.35.5,0.75
2.6165663326318e-05,grid,ok,4.09065596462887,-3162.08499790975,0.221145093376716,0.0540610345355161,False,0.812415970362424,2.42812397344026,,8290,161,8290,-0.0004718189195876,0.0002854878116035,3.58,,ok,1.1.35.5,0.75
3.76060309308639e-05,grid,ok,4.09074468864812,-3162.08471284687,0.221153627450151,0.0540619481982964,False,0.812415411462969,2.42810508844129,,8290,161,8290,-0.0006780159227635,0.0004101871974081,3.82,,ok,1.1.35.5,0.75
5.40484506253906e-05,grid,ok,4.09086643705916,-3162.08430371294,0.221166005894616,0.0540633651324016,False,0.812413476759258,2.42807938978817,,8290,161,8290,-0.0009742663067976,0.0005892767297326,4.16,,ok,1.1.35.5,0.75
7.76799609715734e-05,grid,ok,4.09103864862361,-3162.08371694614,0.221183769422067,0.0540654314024831,False,0.812411146446278,2.42804460498794,,8290,161,8290,-0.0013998356149912,0.000846396984103,4.63999999999999,,ok,1.1.35.5,0.75
0.000111643835609,grid,ok,4.0912728849166,-3162.08287648629,0.221208963459031,0.0540684940069794,False,0.812407447958645,2.42799218482955,,8290,161,8290,-0.0020110421743867,0.001215375860649,3.86000000000001,,ok,1.1.35.5,0.75
0.0001604576762604,grid,ok,4.09160843864006,-3162.08167420763,0.221245084672937,0.0540728879585732,False,0.812402696908686,2.42791855118463,,8290,161,8290,-0.0028885907204744,0.001744525047949,4.2,,ok,1.1.35.5,0.75
0.0002306143078159,grid,ok,4.09212436157235,-3162.07995762273,0.221296901696785,0.0540787332308136,False,0.812394925556353,2.42781436202751,,8290,161,8290,-0.0041479830075969,0.0025026490209473,4.08000000000001,,ok,1.1.35.5,0.75
0.0003314454017339,grid,ok,4.09283208237785,-3162.07751385552,0.22137107976246,0.0540875059877482,False,0.81238467073216,2.42766257635774,,8290,161,8290,-0.0059542144932184,0.0035873424804167,4.08999999999999,,ok,1.1.35.5,0.75
0.0004763627000032,grid,ok,4.09382442587335,-3162.0740509566,0.221476418095204,0.0541001262036185,False,0.812369313124681,2.42744860742894,,8290,161,8290,-0.0085423529904575,0.0051362275397492,4.11,,ok,1.1.35.5,0.75
0.0006846419373062,grid,ok,4.09523854726803,-3162.06917351907,0.221626383255689,0.0541180643563579,False,0.81234726250022,2.42714206670996,,8290,161,8290,-0.0122460064637909,0.0073417172480985,3.89,,ok,1.1.35.5,0.75
0.000983986744376,grid,ok,4.09720182944464,-3162.062366772,0.221838461574064,0.0541438940058595,False,0.812316250615019,2.42670830254852,,8290,161,8290,0.982464008094345,0.0104694693911845,4.04000000000001,,ok,1.1.35.5,0.75
0.001,grid,ok,4.0973139500316,-3162.06200946104,0.22184918794611,0.0541450302934192,False,0.812314525676846,2.42668495438139,,8290,161,8290,0.982182114677578,0.0106354034607495,4.12,,ok,1.1.35.5,0.75
0.001414213562373,grid,ok,4.09990940259693,-3162.05299721985,0.222134775683168,0.0541804108018742,False,0.812271104042956,2.42609787680322,,8290,161,8290,0.974928600387198,0.014879484446749,3.83,,ok,1.1.35.5,0.75
0.0020325477059837,grid,ok,4.10357544651478,-3162.04036487566,0.222545829817966,0.0542321769682526,False,0.812205106060591,2.42524568507286,,8290,161,8290,0.96423596779903,0.0210460318700001,4.34,,ok,1.1.35.5,0.75
0.0029212350150052,grid,ok,4.1083560897899,-3162.02386982629,0.223106418898103,0.0543055212406169,False,0.812111470336484,2.42407062743647,,8290,161,8290,0.949146425586733,0.0295670441289264,4.09999999999999,,ok,1.1.35.5,0.75
0.0041984815351543,grid,ok,4.11429697558059,-3162.00342245715,0.223850805767903,0.0544080330361458,False,0.811976805852825,2.42248991911343,,8290,161,8290,0.928017468523348,0.0411438247593527,4.67999999999999,,ok,1.1.35.5,0.75
