recording_id,speaker_id,word,accent,source_l1_language,source_filename,source_wav_relpath,legacy_key_collision,config_sha256,human_verified,status,sha256,source_rate,source_channels,decoded_samples,duration_seconds,resampled_samples,chosen_dictionary_variant,model_frames,lexical_identity_unresolved,short_phone_count,low_posterior_phone_count,annotation_word
AN19-rec-000410f33e1d4ee3c20c,AN19.ENG.em1,bum,ENG,English,em1hw05 bum.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw05 bum.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,82c8f5a40ca94c46f2e70096af36d01ac803f8d3a48327f1362f378ffa29b2e7,22050,1,8064,0.3657142857142857,5852,0,34,False,1,3,bum
AN19-rec-8bb25933080b91cbbc85,AN19.ENG.em1,chat,ENG,English,em1hw06 chat.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw06 chat.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,686bf20dace65d4ccb70e647105234095252974c7229e420ca2bad30984ac126,22050,1,8256,0.374421768707483,5991,0,35,False,1,2,chat
AN19-rec-0d0be50068684e16540c,AN19.ENG.em1,cheer,ENG,English,em1hw07 cheer.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw07 cheer.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,ad7bd807750900761f5e7c486e48dfefcae8c2f46e6aadb7bd7fb6afb9259e86,22050,1,11968,0.5427664399092971,8685,0,52,False,2,2,cheer
AN19-rec-ca737a47cf9e6584d2ba,AN19.ENG.em1,comb,ENG,English,em1hw08 comb.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw08 comb.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,184cb630dabf5b576f6b6986479f24c4a943bee938643e092ed59e1fd5963b3f,22050,1,12288,0.5572789115646258,8917,0,53,False,1,2,comb
AN19-rec-1c3734710f1021032744,AN19.ENG.em1,caught,ENG,English,em1hw09 caught.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw09 caught.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,7e41e6ec22420985f49eaca414f9c36820fd512399355e974c96cce865567a9c,22050,1,10560,0.47891156462585033,7663,0,45,False,0,2,caught
AN19-rec-6ed9bba1626d5a836e5a,AN19.ENG.em1,den,ENG,English,em1hw10 den.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw10 den.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,c73599e2ed984314977aedd188dce8150a3066988035e006d6fb22fce8836778,22050,1,9920,0.44988662131519275,7199,0,43,False,1,2,den
AN19-rec-a66bc1c33eec4d55a166,AN19.ENG.em1,dune,ENG,English,em1hw11 dune.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw11 dune.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,47719a3c96ca58b837aad6fe980d77c9b61f3ad20f35c8cdc590cd777d6891b2,22050,1,12736,0.5775963718820861,9242,0,55,False,0,2,dune
AN19-rec-aed941b82e2159693593,AN19.ENG.em1,fade,ENG,English,em1hw12 fade.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw12 fade.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,9a24f19f9058d0ab541fb0222d57fb7b9e0035ff30456e021dde44b1eae43934,22050,1,14784,0.6704761904761904,10728,0,65,False,2,1,fade
AN19-rec-d17269315c0b90cccce7,AN19.ENG.em1,fin,ENG,English,em1hw13 fin.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw13 fin.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,0912a1877029ddf387c5e089375a14ade61a07f4cceae6ce984aa77fff3d0a93,22050,1,13440,0.6095238095238096,9753,0,59,False,1,3,fin
AN19-rec-9289547721a5bb30d45d,AN19.ENG.em1,goat,ENG,English,em1hw14 goat.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1hw14 goat.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,abe4dbb926055dfeb012363938849ba891771255640835385b328aaed5e361a1,22050,1,6784,0.3076643990929705,4923,0,28,False,0,2,goat
