feature_key,M_condition,M_joint,M_predictor,predictor_oof_total_log_loss,predictor_oof_total_trials,layer,dataset_id,variant,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain
tr_12::overall_order_sensitive,0.570954682815897,0.571515257550032,0.569105275127652,17775.4341633371,31234,tr_12,B23,ft,-0.0005605747341349554,-0.002409982422379997
tr_14::overall_order_sensitive,0.570954682815897,0.570933749567392,0.568492951876795,17756.3088589198,31234,tr_14,B23,ft,2.0933248505050628e-05,-0.0024407976905969075
tr_16::overall_order_sensitive,0.570954682815897,0.566524318038337,0.568977299771972,17771.4369810778,31234,tr_16,B23,ft,0.004430364777559981,0.0024529817336349513
tr_18::overall_order_sensitive,0.570954682815897,0.567899018492782,0.568492961797337,17756.309168778,31234,tr_18,B23,ft,0.0030556643231149927,0.000593943304554978
tr_20::overall_order_sensitive,0.570954682815897,0.56655836761732,0.568186345942328,17746.7323291627,31234,tr_20,B23,ft,0.004396315198576972,0.0016279783250079394
tr_22::overall_order_sensitive,0.570954682815897,0.573055199408428,0.568232986958069,17748.1891146483,31234,tr_22,B23,ft,-0.0021005165925309655,-0.004822212450358965
tr_24::overall_order_sensitive,0.570954682815897,0.567857032671893,0.569485857926177,17787.3212864662,31234,tr_24,B23,ft,0.0030976501440039828,0.0016288252542839832
tr_2::overall_order_sensitive,0.570954682815897,0.570622692746077,0.568983823658483,17771.6407481491,31234,tr_2,B23,ft,0.00033199006981998735,-0.0016388690875940304
tr_4::overall_order_sensitive,0.570954682815897,0.583153129581106,0.568841610246672,17767.1988544445,31234,tr_4,B23,ft,-0.012198446765208981,-0.014311519334433975
tr_6::overall_order_sensitive,0.570954682815897,0.57220102552717,0.570279234886157,17812.1016224342,31234,tr_6,B23,ft,-0.0012463427112729963,-0.0019217906410130547
tr_8::overall_order_sensitive,0.570954682815897,0.56789795619297,0.569904788134651,17800.4061525977,31234,tr_8,B23,ft,0.0030567266229269974,0.002006831941680942
