canonical_phone,speaker_id,language,branch,mean_similarity,n_instances
ey,AN19.KOR.km7,Korean,Koreanic,0.013416428889485549,5
ey,AN19.KOR.km8,Korean,Koreanic,0.0020013007494956545,6
ey,AN19.MIX.if1,Albanian,Albanian,1.9378624385318005e-05,6
ey,AN19.MIX.if2,Dutch,Germanic,0.00042723107298158765,6
ey,AN19.MIX.if3,French,Romance,0.0009335935620489615,6
ey,AN19.MIX.if4,German,Germanic,0.009920752873143686,6
ey,AN19.MIX.if5,Japanese,Japonic,0.0007882859572359841,6
ey,AN19.MIX.if6,Somali,Afro-Asiatic,0.0025814200072629993,6
ey,AN19.MIX.im1,Romanian,Romance,0.0006287869184891644,6
ey,AN19.MIX.im2,Bengali,Indo-Aryan,0.00014355272438527144,6
ey,AN19.MIX.im3,Russian,Slavic,0.007129121063396857,6
