tau_index,k_index,tau,k,status,z,log_likelihood,kind,coefficient,std_error,singular,var_participant,var_item,n_rows,participants,n_word_responses,predictor_mean,predictor_sd,predictor_min,predictor_max,n_zero,n_one,fit_seconds,warnings,convergence,lme4_version,wall_seconds
15,5,2.375,6.132375635173039e-06,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,6,2.375,8.813623600516035e-06,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999941651114824,5.05831618862848e-05,0.99962687446546,1,0,2679,NA,,,1.1.35.5,90.03099999995902
15,7,2.375,1.266718896442512e-05,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,8,2.375,1.8205642030260796e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999879479641713,0.000104476624127219,0.999229415760631,1,0,2679,NA,,,1.1.35.5,90.04599999997299
15,9,2.375,2.6165663326318052e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999826792727904,0.000150145523022362,0.998892681147871,1,0,2679,NA,,,1.1.35.5,90.04700000002049
15,10,2.375,3.7606030930863934e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999751078122592,0.000215770187403072,0.998408915382287,1,0,2679,NA,,,1.1.35.5,67.56299999996554
15,11,2.375,5.4048450625390614e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999642276540423,0.000310063095652032,0.997714043860473,1,0,2679,NA,,,1.1.35.5,90.03100000007544
15,12,2.375,7.76799609715734e-05,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,13,2.375,0.00011164383560905365,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,14,2.375,0.0001604576762604534,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.998938654357754,0.00091958777730639,0.993228771235289,1,0,2679,NA,,,1.1.35.5,90.06299999996554
15,15,2.375,0.0002306143078159937,ok,9.82467634837551,-3893.29573509653,grid,158.704942952639,16.1537069848495,FALSE,0.88400020030876,2.60348689675903,10969,213,10969,0.998475223921973,0.00132078726273344,0.990282622823365,1,0,2679,74.97,,ok,1.1.35.5,75.98400000005495
15,16,2.375,0.00033144540173399875,ok,12.7134109831283,-3893.29338693571,grid,110.556772217698,8.69607474850103,FALSE,0.883978766984247,2.60346264934701,10969,213,10969,0.997809828088462,0.00189647754192112,0.986063634085114,1,0,2679,52.57,,ok,1.1.35.5,53.57799999997951
15,17,2.375,0.0004763627000032694,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,18,2.375,0.0006846419373062247,ok,6.78699442059893,-3893.28518716919,grid,53.7635792318791,7.92155936782613,FALSE,0.88389808001717,2.603352430291,10969,213,10969,0.99548516239759,0.00390446854764142,0.971426386845189,1,0,2679,34.39,,ok,1.1.35.5,35.296999999904074
15,19,2.375,0.0009839867443760877,ok,4.72138951123582,-3893.27827079338,grid,37.547432629354,7.952623383434,FALSE,0.883831961720404,2.60326681888585,10969,213,10969,0.993522362846123,0.00559592785376272,0.959191113838952,1,0,2679,34.13,,ok,1.1.35.5,35.06200000003446
15,20,2.375,0.001,ok,4.8564663626731,-3893.27790120523,grid,36.9537160576091,7.60917780500573,FALSE,0.883827765574008,2.60326057640839,10969,213,10969,0.993417555499494,0.00568614458509415,0.958540955612457,1,0,2679,35.75,,ok,1.1.35.5,36.85999999998603
15,21,2.375,0.0014142135623730952,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,22,2.375,0.0020325477059837138,ok,4.21811689630494,-3893.25428222167,grid,18.4144303603629,4.36555714624549,FALSE,0.883600905974992,2.60297184990014,10969,213,10969,0.986700246655837,0.0114467990865075,0.917535374723196,1,0,2679,22.42,,ok,1.1.35.5,23.42200000002049
15,23,2.375,0.0029212350150052933,ok,4.31273668983821,-3893.2342372423,grid,12.9525736410237,3.0033305004553,FALSE,0.883408681425204,2.6027367894277,10969,213,10969,0.980982496588365,0.0163169477294366,0.883650354835584,1,0,2679,17.41,,ok,1.1.35.5,18.39000000001397
15,24,2.375,0.00419848153515436,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,25,2.375,0.006034176336545169,ok,4.35245330703969,-3893.16604521564,grid,6.51080245215079,1.49589254446916,FALSE,0.882750776684338,2.6019557166663,10969,213,10969,0.961407377473626,0.0327597210191602,0.774525217823383,1,0,2679,11.51,,ok,1.1.35.5,12.85999999998603
15,26,2.375,0.008672488792828037,ok,4.36900219770624,-3893.11064778136,grid,4.67390106802464,1.06978684297263,FALSE,0.882213322467069,2.60136066948424,10969,213,10969,0.945351701140135,0.0459818747942972,0.692657871479343,1,0,2679,8.32,,ok,1.1.35.5,9.297000000020489
15,27,2.375,0.012464346029501394,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,28,2.375,0.017914110430632808,ok,4.40288154210184,-3892.93289971345,grid,2.51331349039434,0.570833774736201,FALSE,0.880473214285696,2.59974175769059,10969,213,10969,0.892716128329805,0.0876839496871152,0.468351136450197,1,0,2679,6.7,,ok,1.1.35.5,7.73499999998603
15,29,2.375,0.02574666587090447,ok,4.43018162782672,-3892.80057572186,grid,1.9021915139798,0.429370999606837,FALSE,0.879159724945136,2.59888398379529,10969,213,10969,0.852112655573654,0.11816441360636,0.336152357064147,1,0,2679,6.7,,ok,1.1.35.5,7.686999999918044
15,30,2.375,0.0370038359445673,ok,4.46862315954425,-3892.63672202792,grid,1.48299125738369,0.331867603160106,FALSE,0.87751345461958,2.59840014939512,10969,213,10969,0.799414183865807,0.155585506767674,0.20870093147694,1,0,2679,5.32,,ok,1.1.35.5,6.233999999938533
15,31,2.375,0.05,ok,4.50183833242955,-3892.48183981741,grid,1.23988331900554,0.275417113509804,FALSE,0.875931114453577,2.5987962651293,10969,213,10969,0.745778714700164,0.191251685917654,0.120374275514053,1,0,2679,5.36,,ok,1.1.35.5,6.313000000081956
15,32,2.375,0.05318295896944989,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
15,33,2.375,0.07643605189968015,ok,4.54734171403479,-3892.26252942091,grid,1.01205801921291,0.222560362263807,FALSE,0.873601803116336,2.6021435970509,10969,213,10969,0.655937593413452,0.245705219159399,0.0392999956682599,1,0,2679,5.45,,ok,1.1.35.5,6.437000000034459
15,34,2.375,0.10985605433061184,ok,4.56855200621805,-3892.13336495834,grid,0.893119298135263,0.195492860083387,FALSE,0.871952683809513,2.60978686741099,10969,213,10969,0.570067340098675,0.291838171574854,0.00954599436618226,1,0,2679,5.78,,ok,1.1.35.5,6.76500000001397
15,35,2.375,0.1578882264736758,ok,4.5503509667685,-3892.16092965154,grid,0.820259727265413,0.180262958452177,FALSE,0.871154771933613,2.62427800617266,10969,213,10969,0.483050484801328,0.333128589066843,0.00124894090149156,1,0,2679,5.38,,ok,1.1.35.5,6.327999999979511
15,36,2.375,0.22692142195440484,ok,4.46444206255536,-3892.4680574274,grid,0.773218129370635,0.173194795348752,FALSE,0.871408840259203,2.64652398794716,10969,213,10969,0.403589990455012,0.366686377833494,6.71533887179889e-05,1,0,2679,5.55,,ok,1.1.35.5,6.469000000040978
