dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,fitted_condition_id
AN19,strf24_legacy,full,,M_predictor,similarity_z,0.442980225811495,0.175899328372066,2.5183736055802,0.0117898189961707,0.0982175422022454,0.787742909420744,AN19.Mixed.test_Korean
AN19,mfcc39,cv_train,0.0,M_null,(Intercept),-0.130841619127433,0.37712902084606,-0.346941263851559,0.728635445676543,-0.870014499985711,0.608331261730845,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,0.0,M_predictor,(Intercept),-0.159468601476772,0.357832692873732,-0.445651290819992,0.65584915461355,-0.860820679509287,0.541883476555742,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,0.0,M_predictor,similarity_z,1.29262765458998,0.295069607095813,4.38075499307609,1.18268797174164e-05,0.71429122468219,1.87096408449778,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,1.0,M_null,(Intercept),0.205933035301774,0.412289319705682,0.499486708626802,0.617436548009108,-0.602154031321362,1.01402010192491,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,1.0,M_predictor,(Intercept),0.191004133925431,0.412653814123174,0.462867729288498,0.643459179999607,-0.617797341755989,0.999805609606852,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,1.0,M_predictor,similarity_z,0.880877814331827,0.328197462875776,2.6839872758713,0.0072749874975725,0.237610787095305,1.52414484156835,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,2.0,M_null,(Intercept),-0.294134954099554,0.414328783249829,-0.709907122050457,0.477761733605933,-1.10621936926922,0.517949461070111,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,2.0,M_predictor,(Intercept),-0.287946932319124,0.410368586313415,-0.701678788101014,0.482879504345405,-1.09226936149342,0.51637549685517,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,2.0,M_predictor,similarity_z,0.885512580553425,0.330019977717637,2.68320901867057,0.0072919400152372,0.238673424226856,1.53235173687999,AN19.Mixed.test_Spanish
AN19,mfcc39,full,,M_null,(Intercept),-0.0682267387288529,0.396422941984532,-0.172105929054719,0.863354251606116,-0.845215705018535,0.708762227560829,AN19.Mixed.test_Spanish
AN19,mfcc39,full,,M_predictor,(Intercept),-0.074136934345383,0.383577129567925,-0.193277775525599,0.846741430718324,-0.825948108298516,0.67767423960775,AN19.Mixed.test_Spanish
AN19,mfcc39,full,,M_predictor,similarity_z,0.850550197014844,0.289114705247269,2.94191260969379,0.003261919657579,0.283885374730196,1.41721501929949,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_null,(Intercept),-0.130841619127433,0.37712902084606,-0.346941263851559,0.728635445676543,-0.870014499985711,0.608331261730845,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_predictor,(Intercept),-0.163882655013493,0.346832512246698,-0.472512377665808,0.636561108943148,-0.843674379017021,0.515909068990035,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,0.0,M_predictor,similarity_z,1.23689660328094,0.289830010765003,4.26766227560827,1.97532072151987e-05,0.668829782181537,1.80496342438035,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,1.0,M_null,(Intercept),0.218067273336134,0.44463955549148,0.490436063645069,0.623825362384509,-0.653426255427165,1.08956080209943,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,1.0,M_predictor,(Intercept),0.187462632411924,0.400679025772035,0.467862354538569,0.639883026053509,-0.597868258101264,0.972793522925113,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,1.0,M_predictor,similarity_z,0.845758017675661,0.326222697505999,2.59257870203868,0.009525938300987,0.206361530563903,1.48515450478742,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,2.0,M_null,(Intercept),-0.294134954099554,0.414328783249829,-0.709907122050457,0.477761733605933,-1.10621936926922,0.517949461070111,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,2.0,M_predictor,(Intercept),-0.308144897330969,0.394784952541324,-0.780538608038041,0.435073911662542,-1.08192340431196,0.465633609650026,AN19.Mixed.test_Spanish
AN19,strf24_legacy,cv_train,2.0,M_predictor,similarity_z,1.13809089839219,0.325315004256279,3.49842731968063,0.0004680106271068,0.50047349004988,1.77570830673449,AN19.Mixed.test_Spanish
AN19,strf24_legacy,full,,M_null,(Intercept),-0.0682267387288529,0.396422941984532,-0.172105929054719,0.863354251606116,-0.845215705018535,0.708762227560829,AN19.Mixed.test_Spanish
AN19,strf24_legacy,full,,M_predictor,(Intercept),-0.0813557505550128,0.374040875147835,-0.21750497328095,0.827814831651858,-0.814475865844769,0.651764364734744,AN19.Mixed.test_Spanish
AN19,strf24_legacy,full,,M_predictor,similarity_z,0.876147978031854,0.289367264117624,3.02780613661852,0.0024633606188804,0.30898814036131,1.4433078157024,AN19.Mixed.test_Spanish
AN19,mfcc39,cv_train,0.0,M_null,(Intercept),1.16167276596757,0.317990183048536,3.65317178923809,0.0002590208116976,0.538412007192437,1.7849335247427,AN19.Spanish.test_Korean
AN19,mfcc39,cv_train,0.0,M_predictor,(Intercept),1.16444763062701,0.302529227858854,3.8490417566209,0.0001185807941417,0.571490344023652,1.75740491723036,AN19.Spanish.test_Korean
AN19,mfcc39,cv_train,0.0,M_predictor,similarity_z,0.622939965567179,0.240319628186341,2.59213103094583,0.0095383434994204,0.15191349432195,1.09396643681241,AN19.Spanish.test_Korean
