dataset_id,fold,SubjectID,Keyword,TestTalker,ceiling_z,numCorrect,numIncorrect
AN19,1,AN19.25,hum,AN19.KOR.km8,-0.025261074734421914,0,1
AN19,1,AN19.25,hung,AN19.KOR.kf1,0.0023865614072582204,0,1
AN19,1,AN19.25,league,AN19.KOR.kf1,-0.16019829852699435,0,1
AN19,1,AN19.25,lice,AN19.KOR.kf1,-0.07890586855986807,0,1
AN19,1,AN19.25,mace,AN19.KOR.kf5,-0.05224376945150042,0,1
AN19,1,AN19.25,teat,AN19.KOR.kf3,-0.8736836859292585,0,1
AN19,1,AN19.25,beak,AN19.KOR.km8,0.1693081898213575,1,0
AN19,1,AN19.25,bun,AN19.KOR.kf1,0.1693081898213575,1,0
AN19,1,AN19.25,chain,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.25,curve,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.25,dirt,AN19.KOR.km8,0.35088676969468063,1,0
AN19,1,AN19.25,hag,AN19.KOR.km8,0.2733958395969432,1,0
AN19,1,AN19.25,hurl,AN19.KOR.kf3,0.35088676969468063,1,0
AN19,1,AN19.25,join,AN19.KOR.kf3,0.2733958395969432,1,0
AN19,1,AN19.25,judge,AN19.KOR.kf1,0.7158719488095222,1,0
AN19,1,AN19.25,leg,AN19.KOR.km1,-0.07890586855986807,1,0
AN19,1,AN19.25,mid,AN19.KOR.kf5,0.1293348104218226,1,0
AN19,1,AN19.25,moan,AN19.KOR.km1,0.7158719488095222,1,0
AN19,1,AN19.25,mum,AN19.KOR.km1,0.0023865614072582204,1,0
AN19,1,AN19.25,noise,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.25,path,AN19.KOR.km3,0.47783501870924494,1,0
AN19,1,AN19.25,pull,AN19.KOR.kf5,0.215949545902108,1,0
AN19,1,AN19.25,real,AN19.KOR.km8,0.7158719488095222,1,0
AN19,1,AN19.25,rim,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.25,roof,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.25,route,AN19.KOR.km3,-0.10556796766823576,1,0
AN19,1,AN19.25,shop,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.25,suck,AN19.KOR.km8,0.2733958395969432,1,0
AN19,1,AN19.25,theme,AN19.KOR.km1,0.47783501870924494,1,0
AN19,1,AN19.25,thick,AN19.KOR.kf3,-0.05224376945150042,1,0
