analysis_row_id,condition_id,dataset_id,distance,item_id,item_talker,layer,model_variant,participant_id,representation,response_correct,response_incorrect,condition_class,test_accent,listener_accuracy,model_similarity,similarity_k
AN19:AN19.100:036,AN19.Spanish.test_Spanish,AN19,6.060596288705335,AN19.SPA.sf1.HW54,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.6660159862307268,0.0670629730176613
AN19:AN19.100:037,AN19.Spanish.test_Spanish,AN19,8.564262836301536,AN19.SPA.sf5.HW63,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5630736020484766,0.0670629730176613
AN19:AN19.100:038,AN19.Spanish.test_Spanish,AN19,6.966284845709995,AN19.SPA.sm3.HW64,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.6267674046520246,0.0670629730176613
AN19:AN19.100:039,AN19.Spanish.test_Spanish,AN19,3.471087509710611,AN19.SPA.sm5.EW72,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.7923267191876041,0.0670629730176613
AN19:AN19.100:040,AN19.Spanish.test_Spanish,AN19,9.781367777641512,AN19.SPA.sf3.EW55,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5189396917953293,0.0670629730176613
AN19:AN19.100:041,AN19.Spanish.test_Spanish,AN19,12.949018028396056,AN19.SPA.sm5.EW67,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.4196225565468542,0.0670629730176613
AN19:AN19.100:042,AN19.Spanish.test_Spanish,AN19,7.410233153182642,AN19.SPA.sm7.EW18,AN19.SPA.sm7,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.608382023621659,0.0670629730176613
AN19:AN19.100:043,AN19.Spanish.test_Spanish,AN19,4.729526956534152,AN19.SPA.sm3.HW67,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.7282024792109674,0.0670629730176613
AN19:AN19.100:044,AN19.Spanish.test_Spanish,AN19,7.570488502995463,AN19.SPA.sf5.EW58,AN19.SPA.sf5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.6018786294513193,0.0670629730176613
AN19:AN19.100:045,AN19.Spanish.test_Spanish,AN19,17.39690518967792,AN19.SPA.sm3.EW63,AN19.SPA.sm3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.3113965236295408,0.0670629730176613
AN19:AN19.100:046,AN19.Spanish.test_Spanish,AN19,7.086594845526981,AN19.SPA.sf3.EW54,AN19.SPA.sf3,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.6217307741619722,0.0670629730176613
AN19:AN19.100:047,AN19.Spanish.test_Spanish,AN19,8.850747137045923,AN19.SPA.sm5.EW73,AN19.SPA.sm5,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5523588151488219,0.0670629730176613
AN19:AN19.100:048,AN19.Spanish.test_Spanish,AN19,8.701833057039055,AN19.SPA.sf1.HW56,AN19.SPA.sf1,tr_24,ft,AN19.100,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5579026492626441,0.0670629730176613
AN19:AN19.102:001,AN19.Spanish.test_Spanish,AN19,8.249231737296848,AN19.SPA.sf6.EW65,AN19.SPA.sf6,tr_24,ft,AN19.102,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.5750961668836605,0.0670629730176613
AN19:AN19.102:002,AN19.Spanish.test_Spanish,AN19,13.430515839322602,AN19.SPA.sm4.EW66,AN19.SPA.sm4,tr_24,ft,AN19.102,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.406289092877729,0.0670629730176613
AN19:AN19.102:003,AN19.Spanish.test_Spanish,AN19,14.912768989486986,AN19.SPA.sf4.HW57,AN19.SPA.sf4,tr_24,ft,AN19.102,hubert_tsne_3d,0,1,Spanish exposure,SPA,0,0.36784463246145216,0.0670629730176613
AN19:AN19.102:005,AN19.Spanish.test_Spanish,AN19,28.396597927884084,AN19.SPA.sf4.EW55,AN19.SPA.sf4,tr_24,ft,AN19.102,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.14891787780781013,0.0670629730176613
AN19:AN19.102:006,AN19.Spanish.test_Spanish,AN19,11.01807721570454,AN19.SPA.sf6.EW59,AN19.SPA.sf6,tr_24,ft,AN19.102,hubert_tsne_3d,1,0,Spanish exposure,SPA,1,0.47763663422303826,0.0670629730176613
