dataset_id,fold,Keyword,TestTalkerID,SentenceID,ceiling_z,numCorrect,numIncorrect
X21,1,very,X21.CMN.CMN_M_035,HT1_S007,-0.032607067590663695,15,0
X21,1,hot,X21.CMN.CMN_M_035,HT1_S007,0.04456193438615665,15,0
X21,1,fire,X21.CMN.CMN_M_037,HT1_S007,0.7222939175401425,11,2
X21,1,very,X21.CMN.CMN_M_037,HT1_S007,-0.005797842793845844,12,1
X21,1,hot,X21.CMN.CMN_M_037,HT1_S007,-0.06968730652242369,12,1
X21,1,fire,X21.CMN.CMN_M_032,HT1_S007,0.30137469437525777,11,2
X21,1,very,X21.CMN.CMN_M_032,HT1_S007,0.7222939175401425,12,1
X21,1,hot,X21.CMN.CMN_M_032,HT1_S007,0.30137469437525777,12,1
X21,1,time,X21.CMN.CMN_M_043,HT1_S026,0.30137469437525777,13,0
X21,1,go,X21.CMN.CMN_M_043,HT1_S026,0.7222939175401425,13,0
X21,1,bed,X21.CMN.CMN_M_043,HT1_S026,-0.17365338776788264,13,0
X21,1,time,X21.CMN.CMN_M_035,HT1_S026,0.7222939175401425,12,2
X21,1,go,X21.CMN.CMN_M_035,HT1_S026,0.7222939175401425,14,0
X21,1,bed,X21.CMN.CMN_M_035,HT1_S026,0.7222939175401425,14,0
X21,1,time,X21.CMN.CMN_M_032,HT1_S026,0.28902730150417943,14,0
X21,1,go,X21.CMN.CMN_M_032,HT1_S026,0.28902730150417943,14,0
X21,1,bed,X21.CMN.CMN_M_032,HT1_S026,0.28902730150417943,13,1
X21,1,time,X21.CMN.CMN_M_037,HT1_S026,0.31325603510627487,11,1
X21,1,go,X21.CMN.CMN_M_037,HT1_S026,0.08315937222121939,11,1
X21,1,bed,X21.CMN.CMN_M_037,HT1_S026,0.31325603510627487,10,2
X21,1,had,X21.CMN.CMN_M_035,HT1_S038,0.1550193417535753,11,3
X21,1,two,X21.CMN.CMN_M_035,HT1_S038,-0.1876476100077731,7,7
X21,1,empty,X21.CMN.CMN_M_035,HT1_S038,0.057960474020476195,12,2
X21,1,bottles,X21.CMN.CMN_M_035,HT1_S038,-0.1876476100077731,9,5
X21,1,had,X21.CMN.CMN_M_043,HT1_S038,0.5255867342806781,13,0
X21,1,two,X21.CMN.CMN_M_043,HT1_S038,0.0708119793501402,11,2
X21,1,empty,X21.CMN.CMN_M_043,HT1_S038,0.7222939175401425,13,0
X21,1,bottles,X21.CMN.CMN_M_043,HT1_S038,0.7222939175401425,12,1
X21,1,had,X21.CMN.CMN_M_032,HT1_S038,-0.7973086313297669,1,13
X21,1,two,X21.CMN.CMN_M_032,HT1_S038,0.28902730150417943,11,3
X21,1,empty,X21.CMN.CMN_M_032,HT1_S038,0.057960474020476195,12,2
X21,1,bottles,X21.CMN.CMN_M_032,HT1_S038,-0.2725425988144348,10,4
X21,1,had,X21.CMN.CMN_M_037,HT1_S038,-0.43586830789421976,6,6
X21,1,two,X21.CMN.CMN_M_037,HT1_S038,0.31325603510627487,9,3
X21,1,empty,X21.CMN.CMN_M_037,HT1_S038,0.31325603510627487,11,1
X21,1,bottles,X21.CMN.CMN_M_037,HT1_S038,-0.6337657313734011,9,3
X21,1,hung,X21.CMN.CMN_M_043,HT1_S018,-0.3299407364210524,9,4
X21,1,raincoat,X21.CMN.CMN_M_043,HT1_S018,-0.6063729694991911,8,5
X21,1,hung,X21.CMN.CMN_M_037,HT1_S018,-1.0701963756814792,1,11
X21,1,raincoat,X21.CMN.CMN_M_037,HT1_S018,-0.43586830789421976,7,5
X21,1,hung,X21.CMN.CMN_M_035,HT1_S018,-1.1761239471546465,5,9
X21,1,raincoat,X21.CMN.CMN_M_035,HT1_S018,-0.7243332729845406,6,8
